"bpTime","subid","clipNo","grain","bp"
45.3154000000954,1,1,"c",6
94.5552000000477,1,1,"c",6
160.170700000048,1,1,"c",6
223.114400000095,1,1,"c",6
254.026299999952,1,1,"c",6
275.21,1,1,"c",6
348.616,1,2,"c",4
425.615899999857,1,2,"c",4
509.2555,1,2,"c",4
562.735099999905,1,2,"c",4
718.381199999809,1,3,"c",2
753.467599999905,1,3,"c",2
924.968400000095,1,4,"c",3
1008.95160000014,1,4,"c",3
1073.11210000014,1,4,"c",3
1266.1015,1,5,"c",2
1410.772,1,5,"c",2
1831.29920000005,1,6,"c",1
1963.93939999986,1,7,"c",2
2123.171,1,7,"c",2
2439.3509000001,1,8,"c",1
2529.11679999995,1,9,"c",1
16.2286999999881,10,1,"f",7
29.8605,10,1,"f",7
74.3401999999881,10,1,"f",7
94.324,10,1,"f",7
127.084099999994,10,1,"f",7
194.202900000006,10,1,"f",7
263.4105,10,1,"f",7
350.960199999988,10,2,"f",9
378.688,10,2,"f",9
381.632099999994,10,2,"f",9
402.223899999976,10,2,"f",9
458.695599999994,10,2,"f",9
486.695099999994,10,2,"f",9
509.2385,10,2,"f",9
547.094099999994,10,2,"f",9
601.941799999982,10,2,"f",9
636.717199999988,10,3,"f",6
701.300599999994,10,3,"f",6
706.6845,10,3,"f",6
884.946699999988,10,3,"f",6
898.786899999976,10,3,"f",6
960.088399999976,10,4,"f",8
992.047899999976,10,4,"f",8
1056.37489999998,10,4,"f",8
1064.43119999999,10,4,"f",8
1095.71109999999,10,4,"f",8
1163.886,10,4,"f",8
1221.55019999999,10,4,"f",8
1225.1175,10,4,"f",8
1246.30919999999,10,5,"f",11
1251.89319999999,10,5,"f",11
1272.89340000001,10,5,"f",11
1330.62040000001,10,5,"f",11
1361.94859999999,10,5,"f",11
1370.236,10,5,"f",11
1427.85969999999,10,5,"f",11
1451.25179999998,10,5,"f",11
1458.77990000001,10,5,"f",11
1522.73129999998,10,5,"f",11
1531.2935,10,6,"f",9
1568.09319999999,10,6,"f",9
1608.79679999998,10,6,"f",9
1637.72459999999,10,6,"f",9
1679.11619999999,10,6,"f",9
1689.18019999999,10,6,"f",9
1788.315,10,6,"f",9
1803.88329999998,10,6,"f",9
1833.31690000001,10,7,"f",11
1845.38070000002,10,7,"f",11
1873.26840000001,10,7,"f",11
1896.89220000002,10,7,"f",11
1940.22790000001,10,7,"f",11
1946.14770000002,10,7,"f",11
1974.2355,10,7,"f",11
2005.65940000001,10,7,"f",11
2074.13870000002,10,7,"f",11
2090.9865,10,7,"f",11
2137.25810000002,10,7,"f",11
2143.56930000001,10,8,"f",12
2161.03330000001,10,8,"f",12
2224.21670000002,10,8,"f",12
2278.42410000002,10,8,"f",12
2297.68010000002,10,8,"f",12
2333.53590000001,10,8,"f",12
2345.28790000001,10,8,"f",12
2407.17540000001,10,8,"f",12
2420.72710000002,10,8,"f",12
2423.975,10,8,"f",12
2447.23679999998,10,9,"f",7
2480.34029999998,10,9,"f",7
2493.77259999999,10,9,"f",7
2561.84409999999,10,9,"f",7
2569.94819999999,10,9,"f",7
2621.00339999998,10,9,"f",7
2710.56289999998,10,9,"f",7
2860.7555,10,10,"f",3
2885.65130000001,10,10,"f",3
40.8996000000238,11,1,"c",7
90.6272000000179,11,1,"c",7
164.0985,11,1,"c",7
190.297800000012,11,1,"c",7
228.961900000006,11,1,"c",7
264.977600000024,11,1,"c",7
277.561400000006,11,1,"c",7
317.737,11,2,"c",7
359.000700000018,11,2,"c",7
427.368200000018,11,2,"c",7
451.799900000006,11,2,"c",7
507.543900000006,11,2,"c",7
566.382900000006,11,2,"c",7
601.8705,11,2,"c",7
629.029300000012,11,3,"c",5
687.724700000018,11,3,"c",5
744.340200000018,11,3,"c",5
786.363900000006,11,3,"c",5
826.3155,11,3,"c",5
931.145099999994,11,4,"c",4
1011.69380000001,11,4,"c",4
1084.88780000001,11,4,"c",4
1252.50890000001,11,5,"c",4
1311.9405,11,5,"c",4
1392.56380000001,11,5,"c",4
1453.923,11,5,"c",4
1551.46920000002,11,6,"c",3
1641.90060000002,11,6,"c",3
1759.76360000002,11,6,"c",3
1841.93340000001,11,7,"c",5
1905.61270000002,11,7,"c",5
1977.47610000002,11,7,"c",5
2080.50760000002,11,7,"c",5
2132.58660000002,11,7,"c",5
2220.37690000001,11,8,"c",3
2350.27960000002,11,8,"c",3
2440.79090000001,11,8,"c",3
2486.85279999998,11,9,"c",4
2529.43709999999,11,9,"c",4
2610.90819999999,11,9,"c",4
2718.25919999999,11,9,"c",4
2772.093,11,10,"c",2
2828.4525,11,10,"c",2
2.077,12,1,"f",71
4.181,12,1,"f",71
4.813,12,1,"f",71
5.82889999985695,12,1,"f",71
9.28509999990463,12,1,"f",71
10.260899999857,12,1,"f",71
12.7248999998569,12,1,"f",71
15.2447999999523,12,1,"f",71
15.9325,12,1,"f",71
21.4847999999523,12,1,"f",71
25.6047000000477,12,1,"f",71
27.940899999857,12,1,"f",71
30.7247000000477,12,1,"f",71
33.845,12,1,"f",71
39.3727999999523,12,1,"f",71
45.3645,12,1,"f",71
48.5325,12,1,"f",71
55.8765,12,1,"f",71
59.5725,12,1,"f",71
66.2442999999523,12,1,"f",71
70.268399999857,12,1,"f",71
73.2202999999523,12,1,"f",71
79.0682999999523,12,1,"f",71
85.0042999999523,12,1,"f",71
86.4280999999046,12,1,"f",71
89.78,12,1,"f",71
92.8280999999047,12,1,"f",71
100.468200000048,12,1,"f",71
104.972,12,1,"f",71
108.227899999857,12,1,"f",71
112.307799999952,12,1,"f",71
115.1555,12,1,"f",71
120.451899999857,12,1,"f",71
125.235899999857,12,1,"f",71
159.851599999905,12,1,"f",71
164.4275,12,1,"f",71
167.203599999905,12,1,"f",71
172.0355,12,1,"f",71
174.603299999952,12,1,"f",71
180.779299999952,12,1,"f",71
186.315099999905,12,1,"f",71
189.339200000048,12,1,"f",71
191.011,12,1,"f",71
193.875200000048,12,1,"f",71
200.979299999952,12,1,"f",71
208.139,12,1,"f",71
213.027099999905,12,1,"f",71
217.098799999952,12,1,"f",71
218.178899999857,12,1,"f",71
227.538899999857,12,1,"f",71
231.674700000048,12,1,"f",71
235.154899999857,12,1,"f",71
238.450899999857,12,1,"f",71
241.778700000048,12,1,"f",71
246.122700000048,12,1,"f",71
251.154899999857,12,1,"f",71
253.810599999905,12,1,"f",71
255.922599999905,12,1,"f",71
257.882599999905,12,1,"f",71
261.9545,12,1,"f",71
266.2025,12,1,"f",71
269.8745,12,1,"f",71
273.6025,12,1,"f",71
275.546200000048,12,1,"f",71
280.842299999952,12,1,"f",71
283.658299999952,12,1,"f",71
285.554200000048,12,1,"f",71
294.810200000048,12,1,"f",71
299.274099999905,12,1,"f",71
302.730599999905,12,1,"f",71
303.729,12,2,"f",70
307.848599999905,12,2,"f",70
309.000699999809,12,2,"f",70
310.744399999857,12,2,"f",70
318.4565,12,2,"f",70
325.320199999809,12,2,"f",70
326.256599999905,12,2,"f",70
332.3285,12,2,"f",70
336.496599999905,12,2,"f",70
341.8645,12,2,"f",70
347.2485,12,2,"f",70
353.7125,12,2,"f",70
356.167899999857,12,2,"f",70
361.784399999857,12,2,"f",70
364.328199999809,12,2,"f",70
370.536099999905,12,2,"f",70
376.320099999905,12,2,"f",70
378.656,12,2,"f",70
380.335799999952,12,2,"f",70
381.032,12,2,"f",70
384.832,12,2,"f",70
386.455899999857,12,2,"f",70
388.439899999857,12,2,"f",70
401.599799999952,12,2,"f",70
405.311899999857,12,2,"f",70
413.56,12,2,"f",70
414.071699999809,12,2,"f",70
416.471699999809,12,2,"f",70
421.343799999952,12,2,"f",70
427.2075,12,2,"f",70
434.207599999905,12,2,"f",70
443.183599999905,12,2,"f",70
446.687399999857,12,2,"f",70
448.559399999857,12,2,"f",70
460.095299999952,12,2,"f",70
465.719399999857,12,2,"f",70
472.687199999809,12,2,"f",70
475.815299999952,12,2,"f",70
482.071099999905,12,2,"f",70
487.183199999809,12,2,"f",70
499.983,12,2,"f",70
503.079099999905,12,2,"f",70
507.734899999857,12,2,"f",70
513.062799999952,12,2,"f",70
516.262799999952,12,2,"f",70
522.246699999809,12,2,"f",70
526.8145,12,2,"f",70
527.686599999905,12,2,"f",70
529.1345,12,2,"f",70
542.390599999905,12,2,"f",70
544.4705,12,2,"f",70
548.766699999809,12,2,"f",70
549.974699999809,12,2,"f",70
551.773899999857,12,2,"f",70
554.294299999952,12,2,"f",70
556.262399999857,12,2,"f",70
558.614399999857,12,2,"f",70
568.990399999857,12,2,"f",70
571.926199999809,12,2,"f",70
573.158099999905,12,2,"f",70
580.334299999952,12,2,"f",70
588.038199999809,12,2,"f",70
590.782,12,2,"f",70
594.086099999905,12,2,"f",70
596.397899999857,12,2,"f",70
599.8225,12,2,"f",70
600.694,12,2,"f",70
603.6215,12,3,"f",67
605.461400000095,12,3,"f",67
606.653299999952,12,3,"f",67
607.453400000095,12,3,"f",67
608.941200000048,12,3,"f",67
611.213299999952,12,3,"f",67
615.365400000095,12,3,"f",67
619.341299999952,12,3,"f",67
621.013200000048,12,3,"f",67
625.197200000048,12,3,"f",67
628.212299999952,12,3,"f",67
632.885200000048,12,3,"f",67
635.141200000048,12,3,"f",67
636.533,12,3,"f",67
641.517200000048,12,3,"f",67
655.389,12,3,"f",67
661.837,12,3,"f",67
663.460700000048,12,3,"f",67
673.228799999952,12,3,"f",67
674.076799999952,12,3,"f",67
674.949,12,3,"f",67
683.124600000143,12,3,"f",67
690.252700000048,12,3,"f",67
696.084900000095,12,3,"f",67
698.956100000143,12,3,"f",67
705.652600000143,12,3,"f",67
714.4205,12,3,"f",67
715.588400000095,12,3,"f",67
722.340400000095,12,3,"f",67
735.308299999952,12,3,"f",67
736.988200000048,12,3,"f",67
748.244200000048,12,3,"f",67
756.371700000048,12,3,"f",67
772.995600000143,12,3,"f",67
777.115799999952,12,3,"f",67
777.899700000048,12,3,"f",67
782.379799999952,12,3,"f",67
798.651700000048,12,3,"f",67
800.251600000143,12,3,"f",67
803.5155,12,3,"f",67
805.4435,12,3,"f",67
811.2195,12,3,"f",67
812.403400000095,12,3,"f",67
819.019299999952,12,3,"f",67
822.651400000095,12,3,"f",67
828.987400000095,12,3,"f",67
850.987200000048,12,3,"f",67
852.035,12,3,"f",67
854.843100000143,12,3,"f",67
856.211,12,3,"f",67
858.059,12,3,"f",67
863.051,12,3,"f",67
865.179299999952,12,3,"f",67
869.083,12,3,"f",67
877.410799999952,12,3,"f",67
880.162799999952,12,3,"f",67
882.946799999952,12,3,"f",67
884.634799999952,12,3,"f",67
886.322700000048,12,3,"f",67
890.210299999952,12,3,"f",67
893.162299999952,12,3,"f",67
895.970299999952,12,3,"f",67
899.338799999952,12,3,"f",67
903.746799999952,12,3,"f",67
907.9545,12,3,"f",67
911.7285,12,4,"f",77
913.8965,12,4,"f",77
918.424399999857,12,4,"f",77
922.704399999857,12,4,"f",77
924.424399999857,12,4,"f",77
928.184299999952,12,4,"f",77
930.064099999904,12,4,"f",77
936.5685,12,4,"f",77
938.888299999952,12,4,"f",77
942.168399999857,12,4,"f",77
951.400199999809,12,4,"f",77
959.960399999857,12,4,"f",77
962.296099999904,12,4,"f",77
966.328099999904,12,4,"f",77
971.600399999857,12,4,"f",77
976.351899999857,12,4,"f",77
977.783899999857,12,4,"f",77
980.6395,12,4,"f",77
986.152,12,4,"f",77
988.751799999952,12,4,"f",77
990.015799999952,12,4,"f",77
992.463799999952,12,4,"f",77
996.423799999952,12,4,"f",77
998.199699999809,12,4,"f",77
1000.6555999999,12,4,"f",77
1002.9435999999,12,4,"f",77
1004.5355999999,12,4,"f",77
1006.1275999999,12,4,"f",77
1009.3275999999,12,4,"f",77
1016.27169999981,12,4,"f",77
1020.6635,12,4,"f",77
1025.3195999999,12,4,"f",77
1034.39989999986,12,4,"f",77
1042.03119999981,12,4,"f",77
1046.67919999981,12,4,"f",77
1049.48719999981,12,4,"f",77
1051.83119999981,12,4,"f",77
1055.6230999999,12,4,"f",77
1059.0230999999,12,4,"f",77
1060.647,12,4,"f",77
1062.719,12,4,"f",77
1068.5110999999,12,4,"f",77
1070.735,12,4,"f",77
1077.59889999986,12,4,"f",77
1087.70289999986,12,4,"f",77
1093.41479999995,12,4,"f",77
1095.77479999995,12,4,"f",77
1096.9025,12,4,"f",77
1099.80669999981,12,4,"f",77
1101.72669999981,12,4,"f",77
1103.03869999981,12,4,"f",77
1107.17469999981,12,4,"f",77
1111.42279999995,12,4,"f",77
1116.7665999999,12,4,"f",77
1125.3825999999,12,4,"f",77
1131.8465,12,4,"f",77
1136.5665999999,12,4,"f",77
1141.46229999995,12,4,"f",77
1144.64639999986,12,4,"f",77
1147.89469999981,12,4,"f",77
1151.87789999986,12,4,"f",77
1168.67819999981,12,4,"f",77
1173.718,12,4,"f",77
1177.926,12,4,"f",77
1185.574,12,4,"f",77
1188.77389999986,12,4,"f",77
1192.758,12,4,"f",77
1200.4535,12,4,"f",77
1206.71779999995,12,4,"f",77
1207.81369999981,12,4,"f",77
1217.70979999995,12,4,"f",77
1220.6135999999,12,4,"f",77
1222.14969999981,12,4,"f",77
1228.02169999981,12,4,"f",77
1242.43729999995,12,5,"f",59
1245.30129999995,12,5,"f",59
1251.05319999981,12,5,"f",59
1261.4610999999,12,5,"f",59
1264.09329999995,12,5,"f",59
1265.70929999995,12,5,"f",59
1270.453,12,5,"f",59
1277.9250999999,12,5,"f",59
1284.26939999986,12,5,"f",59
1289.78879999995,12,5,"f",59
1295.0530999999,12,5,"f",59
1303.34869999981,12,5,"f",59
1304.9645,12,5,"f",59
1306.06079999995,12,5,"f",59
1310.44469999981,12,5,"f",59
1326.2205,12,5,"f",59
1329.3085,12,5,"f",59
1334.5965,12,5,"f",59
1346.42029999995,12,5,"f",59
1350.1085,12,5,"f",59
1355.94819999981,12,5,"f",59
1356.92419999981,12,5,"f",59
1362.46029999995,12,5,"f",59
1367.63619999981,12,5,"f",59
1375.1480999999,12,5,"f",59
1382.084,12,5,"f",59
1388.05179999995,12,5,"f",59
1393.15589999986,12,5,"f",59
1398.87579999995,12,5,"f",59
1404.65979999995,12,5,"f",59
1405.74769999981,12,5,"f",59
1412.03589999986,12,5,"f",59
1426.21219999981,12,5,"f",59
1429.3075,12,5,"f",59
1432.89939999986,12,5,"f",59
1439.25939999986,12,5,"f",59
1442.18729999995,12,5,"f",59
1444.21139999986,12,5,"f",59
1448.0675,12,5,"f",59
1453.15529999995,12,5,"f",59
1457.21929999995,12,5,"f",59
1470.4510999999,12,5,"f",59
1471.1710999999,12,5,"f",59
1474.4590999999,12,5,"f",59
1482.6430999999,12,5,"f",59
1485.56269999981,12,5,"f",59
1492.19529999995,12,5,"f",59
1497.73089999986,12,5,"f",59
1501.60289999986,12,5,"f",59
1504.09879999995,12,5,"f",59
1508.30679999995,12,5,"f",59
1509.85879999995,12,5,"f",59
1511.41889999986,12,5,"f",59
1516.05069999981,12,5,"f",59
1519.04279999995,12,5,"f",59
1524.9465999999,12,5,"f",59
1527.25019999981,12,5,"f",59
1533.93260000014,12,6,"f",43
1564.348,12,6,"f",43
1570.74830000019,12,6,"f",43
1593.51610000014,12,6,"f",43
1606.83570000005,12,6,"f",43
1607.588,12,6,"f",43
1615.3719000001,12,6,"f",43
1618.34780000019,12,6,"f",43
1631.38770000005,12,6,"f",43
1634.52370000005,12,6,"f",43
1656.61960000014,12,6,"f",43
1657.7475,12,6,"f",43
1664.7795,12,6,"f",43
1672.4594000001,12,6,"f",43
1691.2274000001,12,6,"f",43
1702.20320000005,12,6,"f",43
1705.2354000001,12,6,"f",43
1712.027,12,6,"f",43
1722.8669000001,12,6,"f",43
1733.5869000001,12,6,"f",43
1737.04280000019,12,6,"f",43
1738.23480000019,12,6,"f",43
1749.46680000019,12,6,"f",43
1759.4505,12,6,"f",43
1763.3785,12,6,"f",43
1771.4664000001,12,6,"f",43
1774.6344000001,12,6,"f",43
1777.5944000001,12,6,"f",43
1783.94630000019,12,6,"f",43
1784.67430000019,12,6,"f",43
1786.03430000019,12,6,"f",43
1791.23410000014,12,6,"f",43
1795.54620000005,12,6,"f",43
1798.43420000005,12,6,"f",43
1803.96230000019,12,6,"f",43
1813.338,12,6,"f",43
1814.43370000005,12,6,"f",43
1820.186,12,6,"f",43
1822.80230000019,12,6,"f",43
1831.5699000001,12,6,"f",43
1832.87580000019,12,7,"f",59
1834.78780000019,12,7,"f",59
1840.61970000005,12,7,"f",59
1843.20370000005,12,7,"f",59
1846.66780000019,12,7,"f",59
1850.65960000014,12,7,"f",59
1853.78760000014,12,7,"f",59
1857.41960000014,12,7,"f",59
1864.3395,12,7,"f",59
1871.8195,12,7,"f",59
1874.40370000005,12,7,"f",59
1877.2274000001,12,7,"f",59
1890.53930000019,12,7,"f",59
1893.9474000001,12,7,"f",59
1898.15530000019,12,7,"f",59
1905.19530000019,12,7,"f",59
1910.72320000005,12,7,"f",59
1917.18710000014,12,7,"f",59
1923.4189000001,12,7,"f",59
1930.58710000014,12,7,"f",59
1934.5709000001,12,7,"f",59
1941.37880000019,12,7,"f",59
1944.6825,12,7,"f",59
1960.09060000014,12,7,"f",59
1966.8584000001,12,7,"f",59
1967.9945,12,7,"f",59
1972.22660000014,12,7,"f",59
1976.9464000001,12,7,"f",59
1984.2425,12,7,"f",59
1991.0824000001,12,7,"f",59
1995.32230000019,12,7,"f",59
1998.14630000019,12,7,"f",59
2002.67430000019,12,7,"f",59
2006.442,12,7,"f",59
2007.25810000014,12,7,"f",59
2009.242,12,7,"f",59
2011.83410000014,12,7,"f",59
2021.418,12,7,"f",59
2032.86610000014,12,7,"f",59
2042.2259000001,12,7,"f",59
2044.626,12,7,"f",59
2050.61770000005,12,7,"f",59
2054.08170000005,12,7,"f",59
2066.83360000014,12,7,"f",59
2077.01760000014,12,7,"f",59
2083.1375,12,7,"f",59
2092.44970000005,12,7,"f",59
2094.1774000001,12,7,"f",59
2097.2495,12,7,"f",59
2098.24980000019,12,7,"f",59
